CCTV-1高清 1, rtp://239.2.1.129:8000
CCTV-2高清 2, rtp://239.2.1.60:8084
CCTV-7高清 7, rtp://239.2.1.61:8104
CCTV-9高清 9, rtp://239.2.1.62:8112
CCTV-10高清 10, rtp://239.2.1.63:8116
CCTV-12高清 12, rtp://239.2.1.64:8124
CCTV-少儿高清 14, rtp://239.2.1.65:8132
CCTV5＋ 20, rtp://239.2.1.130:8004
BTV北京卫视高清 21, rtp://239.2.1.131:8024
BTV文艺高清 22, rtp://239.2.1.242:8000
BTV体育高清 23, rtp://239.2.1.243:8000
大健康 30, rtp://239.2.1.251:8002
DOGTV 35, rtp://239.2.1.102:8002
淘Baby 36, rtp://239.2.1.238:8002
淘剧场 37, rtp://239.2.1.95:8002
淘电影 38, rtp://239.2.1.250:8002
淘娱乐 39, rtp://239.2.1.100:8002
4K超清 40, rtp://239.2.1.249:8002
湖南卫视高清 41, rtp://239.2.1.132:8012
黑龙江卫视高清 42, rtp://239.2.1.133:8016
深圳卫视高清 43, rtp://239.2.1.134:8020
江苏卫视高清 44, rtp://239.2.1.135:8028
东方卫视高清 45, rtp://239.2.1.136:8032
浙江卫视高清 46, rtp://239.2.1.137:8036
湖北卫视高清 47, rtp://239.2.1.138:8044
天津卫视高清 48, rtp://239.2.1.141:1234
广东卫视高清 49, rtp://239.2.1.142:8048
山东卫视高清 50, rtp://239.2.1.209:8052
辽宁卫视高清 51, rtp://239.2.1.210:8056
安徽卫视高清 52, rtp://239.2.1.211:8064
纪实频道HD 53, rtp://239.2.1.212:8060
CETV1高清 54, rtp://239.2.1.57:8152
金鹰纪实高清 55, rtp://239.2.1.58:8156
CCTV-1 101, rtp://239.2.1.1:8000
CCTV-2 102, rtp://239.2.1.2:8004
CCTV-4 104, rtp://239.2.1.4:8216
CCTV-7 107, rtp://239.2.1.7:8024
CCTV-9 109, rtp://239.2.1.9:8032
CCTV-10 110, rtp://239.2.1.10:8228
CCTV-11 111, rtp://239.2.1.11:8040
CCTV-12 112, rtp://239.2.1.12:8232
CCTV-13 113, rtp://239.2.1.13:8048
CCTV-14 114, rtp://239.2.1.14:8236
CCTV-15 115, rtp://239.2.1.15:8052
CGTN 116, rtp://239.2.1.16:8056
BTV北京卫视 121, rtp://239.2.1.225:8000
BTV文艺 122, rtp://239.2.1.226:8000
BTV科教 123, rtp://239.2.1.227:8000
BTV影视 124, rtp://239.2.1.228:8000
BTV财经 125, rtp://239.2.1.229:8000
BTV体育 126, rtp://239.2.1.230:8000
BTV生活 127, rtp://239.2.1.231:8000
BTV青年 128, rtp://239.2.1.232:8000
BTV新闻 129, rtp://239.2.1.233:8000
BTV卡酷少儿 130, rtp://239.2.1.50:9248
BTV国际频道 131, rtp://239.2.1.235:8000
湖南卫视 132, rtp://239.2.1.18:8268
浙江卫视 133, rtp://239.2.1.19:8284
江苏卫视 134, rtp://239.2.1.20:8276
安徽卫视 135, rtp://239.2.1.21:8272
天津卫视 136, rtp://239.2.1.23:8144
辽宁卫视 137, rtp://239.2.1.24:8116
山东卫视 138, rtp://239.2.1.25:8148
山东教育 139, rtp://239.2.1.52:4120
河南卫视 140, rtp://239.2.1.27:8128
黑龙江卫视 141, rtp://239.2.1.28:8196
四川卫视 142, rtp://239.2.1.29:8288
江西卫视 143, rtp://239.2.1.30:8280
贵州卫视 144, rtp://239.2.1.31:8120
深圳卫视 145, rtp://239.2.1.32:9244
湖北卫视 146, rtp://239.2.1.33:8136
东方卫视 147, rtp://239.2.1.34:8192
重庆卫视 148, rtp://239.2.1.35:8296
东南卫视 149, rtp://239.2.1.36:8112
河北卫视 150, rtp://239.2.1.37:8292
广东卫视 151, rtp://239.2.1.38:8132
广西卫视 152, rtp://239.2.1.39:8300
吉林卫视 153, rtp://239.2.1.40:8200
陕西卫视 154, rtp://239.2.1.41:8140
山西卫视 155, rtp://239.2.1.42:8172
内蒙古卫视 156, rtp://239.2.1.43:8176
青海卫视 157, rtp://239.2.1.44:8184
旅游卫视 158, rtp://239.2.1.45:8304
宁夏卫视 159, rtp://239.2.1.46:8124
西藏卫视 160, rtp://239.2.1.47:8164
新疆卫视 161, rtp://239.2.1.48:8160
甘肃卫视 162, rtp://239.2.1.49:8188
金鹰卡通 163, rtp://239.2.1.51:9252
云南卫视 164, rtp://239.2.1.26:8108
财富天下 165, rtp://239.2.1.53:9136
厦门卫视 166, rtp://239.2.1.143:4120
兵团卫视 167, rtp://239.2.1.144:4120
CETV1 169, rtp://239.2.1.146:4120
嘉佳卡通 170, rtp://239.2.1.147:9268
CETV2 171, rtp://239.2.1.54:4120
CETV3 172, rtp://239.2.1.55:4120
CETV4 173, rtp://239.2.1.56:4120
收视指南 201, rtp://239.2.1.193:8012
热播剧场 202, rtp://239.2.1.194:9020
经典电影 203, rtp://239.2.1.195:9024
魅力时尚 204, rtp://239.2.1.196:9012
IPTV6+ 205, rtp://239.2.1.197:9016
IPTV3+ 206, rtp://239.2.1.198:9004
少儿动画 207, rtp://239.2.1.199:9000
IPTV5+ 208, rtp://239.2.1.200:9008
IPTV8+ 209, rtp://239.2.1.201:8072
闪闪红星 301, rtp://239.2.1.96:8002
文化北京 302, rtp://239.2.1.97:8002
淘京品 303, rtp://239.2.1.98:8002
淘体育 304, rtp://239.2.1.99:8002
淘军迷 306, rtp://239.2.1.101:8002
熊猫频道高清 324, rtp://239.2.1.66:8068
城市剧场 351, rtp://239.2.1.67:4120
军旅剧场 352, rtp://239.2.1.68:4120
古装剧场 353, rtp://239.2.1.69:4120
音乐现场 354, rtp://239.2.1.70:4120
地理 355, rtp://239.2.1.71:4120
美妆 356, rtp://239.2.1.72:4120
美人 357, rtp://239.2.1.73:4120
精选 358, rtp://239.2.1.74:4120
解密 359, rtp://239.2.1.75:4120
军事 360, rtp://239.2.1.76:4120
国学 361, rtp://239.2.1.77:4120
戏曲 362, rtp://239.2.1.78:4120
早教 363, rtp://239.2.1.79:4120
动画 364, rtp://239.2.1.80:4120
好学生 365, rtp://239.2.1.81:4120
鉴赏 366, rtp://239.2.1.82:4120
墨宝 367, rtp://239.2.1.83:4120
光影 368, rtp://239.2.1.84:4120
台球 369, rtp://239.2.1.85:4120
爱生活 370, rtp://239.2.1.86:4120
武术 371, rtp://239.2.1.87:4120
